Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
hakabhjder,4,0,1,0.21,7,0.15,0,0,1,2,2,0.5788951372808468,0.6135830230018382
perezdonaldd8,6,0,0,0.36,5,0,1,0,1,1,1,0.47327287813910857,0.5166612401050039
shellynelly,3,0,2,0.38,21,0.16,1,0,1,7,7,0.5202830441475689,0.5597990137224178
b1xt,1,1,2,0.62,41,0,1,0,0.1,10,1,0.38473380063830925,0.43541543721128995
g64355,2,0,4,0.19,15,0.1,1,0,0.72,18,13,0.4639606591550441,0.5081161012867734
hojimxc,3,0,4,0.54,15,0.1,1,0,0.25,8,2,0.5995542553643667,0.6325403770103715
robwil,2,0,0,0.67,3,0,0,0,0,1,0,0.5687790256081402,0.6043002109575847
butcorn,2,0,2,0.38,5,0,1,0,1,1,1,0.4274990436449049,0.47465795703519803
maccuoi2,3,0,2,0,1,0.1,1,0,0,1,0,0.5205565524646241,0.5600499921993176
lrvspb,2,0,3,0.19,15,0.15,0,0,0.14,7,1,0.625386007092736,0.6562442766732464
deny100666,3,0,3,0.2,4,0.06,1,0,0.33,3,1,0.5004906517444472,0.5416369901575738
erinmagennis,4,0,3,0.44,118,0.1,0,0,0.09,11,1,0.7247175749422029,0.7473935546013851
ceresstation,3,0,4,0.75,25,0.26,0,1,0.1,281,28,0.7568658903712137,0.7768937004402298
muzisu1696ff6,1,1,0,0.18,10,0,1,0,1,1,1,0.2762896009550615,0.33590416692103675
yuyu9760956795,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
quesi89017,5,0,0,0,11,0,0.02,0,0,3,0,0.5451501246495675,0.582617705514065
jess25z,3,0,1,0.33,2,0.08,1,0,1,1,1,0.4634376669001343,0.5076361897397286
mutui16323,4,0,0,0,11,0,0.02,0,0,3,0,0.5250398712293275,0.5641640042598509
sarrazine,3,0,2,0.71,6,0.13,1,0,0,1,0,0.7074920950552284,0.7315869979582562
duyou4234,3,0,0,0,11,0,0.02,0,0,3,0,0.4895577111789132,0.5316046342836599
haoquan923661901,8,0,0,0,11,0,0.02,0,0,3,0,0.5626047601535342,0.5986345414216235
yueguamao86151877,9,0,0,0,11,0,0.02,0,0,3,0,0.5638799002803461,0.5998046437801429
rujiao01995302,6,0,0,0,11,0,0.02,0,0,3,0,0.5552699323806127,0.5919039091593578
leici043,3,0,0,0,11,0,0.02,0,0,3,0,0.4895577111789132,0.5316046342836599
chongpaike444,5,0,0,0,11,0,0.02,0,0,3,0,0.5451501246495675,0.582617705514065
tamphatyde4817,7,0,0,0,1,0,1,0,0,1,0,0.46380357667565425,0.507971958242608
mikeaz,2,0,1,0.21,23,0.08,0,0,0,2,0,0.6756061997682571,0.7023276557931938
shadrach007,4,0,2,0.25,3,0,1,0,1,2,2,0.41642380483333546,0.4644950245212755
beastmode2047,4,0,0,0.6,3,0,0,0,0.62,8,5,0.42597626760940793,0.47326061740705316
ozarkozark,4,0,2,0,7,0,1,0,1,1,1,0.4225278451795083,0.47009625363749213
rlo5,1,1,3,0.17,17,0.2,1,0,1,3,3,0.41200331906038806,0.4604386696784084
sunny155,2,0,2,0.38,20,0.1,0,0,0,3,0,0.7199644439187828,0.7430319556649913
greengirl512,5,0,1,0.81,6,0,1,0,0,1,0,0.6492773281933482,0.6781675857905483
sjm-sammy,3,0,0,0,1,0.15,1,0,0,4,0,0.42490256266204907,0.47227535730516945
vmakter,2,0,0,0.25,2,0,1,0,0,1,0,0.4566091991195989,0.5013702068198314
havok-la,3,0,3,0.25,3,0,1,0,0,1,0,0.600188129369434,0.633122036588592
motivatedartist,5,0,0,0.43,4,0,1,0,1,1,1,0.4601721993579947,0.5046397102216073
glomoss,2,0,0,0,1,0.11,0,0,0,2,0,0.4679487061023771,0.5117756388080558
moonmish,3,0,3,0.18,7,0.03,1,0,0,7,0,0.5814565057094861,0.6159334025219946
hollygrimm,3,0,3,0.71,42,0.1,0,1,0.25,24,6,0.7115891757235496,0.7353465877101945
ryannewatlantis,5,0,3,0,1,0,1,0,1,1,1,0.4052561645633015,0.4542473019813733
jesuseyi,2,0,3,0.67,12,0.08,0,0,0.87,38,33,0.5108525512966696,0.5511453436709333
nakkas15,3,0,1,0.5,5,0.15,1,0,0,6,0,0.6011897611791904,0.6340411604702115
feeeniqs,3,0,3,0.07,10,0.08,0,0,0,2,0,0.7064239341953773,0.7306068252579313
thaivandang,2,0,0,0.17,5,0.05,1,0,0,1,0,0.5111796524596344,0.5514455003629013
tpl82,2,0,0,0.32,48,0,1,0,0,1,0,0.57363749429421,0.6087584705235953
lilmahnaji,3,0,2,0,1,0.1,1,0,0,1,0,0.5205565524646241,0.5600499921993176
alecdalelio,4,0,4,0.66,19,0.39,0,0,0,4,0,0.8963828525069439,0.9049181606669244
hrsalazar,3,0,2,0.57,67,0,0,0,0.33,24,8,0.5356216862526958,0.573874158035042
lumbitch,3,0,3,0,1,0.11,1,0,0,2,0,0.5248014754664888,0.5639452459928234
alfaamad,1,1,1,0.33,5,0,0,0,0.68,22,15,0.25457156215753707,0.3159751192147765
imranyon,2,0,2,0,19,0,1,0,0,1,0,0.5302383772825471,0.5689342911214668
